country,iso,aluminum_us,aluminum_cn,antimony_us,antimony_cn,beryllium_us,beryllium_cn,bismuth_us,bismuth_cn,cadmium_us,cadmium_cn,chromium_us,chromium_cn,cobalt_us,cobalt_cn,copper_us,copper_cn,gold_us,gold_cn,steel_us,steel_cn,lead_us,lead_cn,lithium_us,lithium_cn,magnesium_us,magnesium_cn,manganese_us,manganese_cn,molybdenum_us,molybdenum_cn,graphite_us,graphite_cn,nickel_us,nickel_cn,niobium_us,niobium_cn,palladium_us,palladium_cn,platinum_us,platinum_cn,ree_us,ree_cn,rhodium_us,rhodium_cn,silver_us,silver_cn,tin_us,tin_cn,titanium_us,titanium_cn,tungsten_us,tungsten_cn,uranium_us,uranium_cn,zinc_us,zinc_cn,zirconium_us,zirconium_cn,beef_us,beef_cn,coffee_us,coffee_cn,maize_us,maize_cn,milk_us,milk_cn,palm_us,palm_cn,pork_us,pork_cn,poultry_us,poultry_cn,rice_us,rice_cn,soy_us,soy_cn,sugar_us,sugar_cn,wheat_us,wheat_cn,coal_us,coal_cn,gas_us,gas_cn,oil_us,oil_cn,trade_us,trade_cn,fdi_us,fdi_cn,student_out_us,student_in_us,student_out_cn,student_in_cn,aid_us,aid_cn,unga_us,unga_cn,arms_ex_us,arms_im_us,arms_ex_cn,arms_im_cn,mil_ex_us,mil_ex_cn
Mali,MLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102776805,410742733.4,0,925000000,0,339.1,0,0,0.034,0.014,0.2,0.79,0,0,0,0,0,0
Malta,MLT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1272366947,2863543675,0,440000000,48.75,37.03,17.75,0,0.001,0,0.42,0.52,0,0,0,0,2,0
Mauritania,MRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325011068.4,1806883608,0,0,0,74.83,0,0,0.013,0.012,0.19,0.77,0.04,0,0.64,0,5,0
Mauritius,MUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,454271190.7,767980610,0,0,1.75,230.67,3.5,0,0,0.001,0.2,0.77,0.02,0,0,0,8,0
Mexico,MEX,0.003,0,0.042,0.001,0.005,0,0.033,0.001,0.026,0.039,0.001,0,0.001,0,0.042,0.003,0.128,0,0.021,0,0.064,0,0,0,0.033,0,0.052,0.002,0.039,0.013,0.289,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.366,0,0.003,0,0.01,0,0.028,0,0,0,0.109,0.001,0.003,0,0.013,0,0.044,0,0,0,0.015,0,0.001,0,0.001,0,0,0,0,0,0,0,0.127,0,0,0,0,0,0,0,0.031,0.001,6.9E+11,43368575266,1.02E+11,577500000,0,14908.54,0,13,0.001,0,0.28,0.71,0.62,0,0,0,3,0
Micronesia,FSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71215369,20433894,0,1290000000,0,48.57,0,0,0.674,0,0.79,0.32,0,0,0,0,13,0
Moldova,MDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83662045.5,125103563,0,0,13,315.86,3.25,0,0.018,0.002,0.43,0.49,0,0,0,0,0,0
Mongolia,MNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0.002,232918153.8,5931550040,0,0,7,1404.94,551,8,0.009,0.021,0.24,0.77,0,0,0,0,16,5
Montenegro,MNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27892098.3,162268409.2,0,1120000000,0,107.74,0,0,0.004,0.046,0.47,0.51,0,0,0,0,5,0
Morocco,MAR,0,0,0,0.001,0,0,0,0,0,0,0,0,0.018,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4542984561,3632466598,0,870000000,25,1341.72,21.25,1.75,0.003,0.002,0.22,0.8,0.39,0,0,0,10,0
Mozambique,MOZ,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,530139657,2257349113,0,883333333.3,2.5,100.59,1.5,11,0.05,0.026,0.2,0.79,0,0,0.19,0,8,0
